N,ID,Field,CCD,Par00,Par01,Par02,Par03,Par04,Par05,Par06,Par07,Par08,Par09,Par10,Par11,Par12,Par13,Par14,Par15,Par16,Par17,Par18,Par19,Par20,Par21,Par22,Par23,Par24,Par25,Par26,Par27,Par28,Par29,Par30,Par31
68,HiTS68SN,5,N17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,HiTS69SN,7,N27,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,HiTS70SN,12,N20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,HiTS71SN,14,S8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,HiTS72SN,14,S11,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,HiTS73SN,19,S12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,HiTS74SN,21,N8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,HiTS75SN,21,S15,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,HiTS76SN,28,N12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,HiTS77SN,30,S26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,HiTS78SN,26,N10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,HiTS79SN,39,N23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,HiTS80SN,34,N3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,HiTS81SN,41,N26,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,HiTS82SN,49,N20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,HiTS83SN,43,S1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,HiTS84SN,40,N16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,HiTS85SN,46,S24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,HiTS86SN,49,S17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,HiTS87SN,19,N8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,HiTS88SN,45,S6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,HiTS89SN,45,N8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,HiTS90SN,47,S27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,PH14SN,2,S17,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,PH19SN,9,N11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,PH28SN,38,S25,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
